"gene","pval","effect","fdr"
"A1BG","1.80500343632827e-06","-0.14142903781786",3.5385393669205e-06
"A1CF","0.000795154993843576","0.432811085555628",0.00120849331395045
"A2M","1.39191587747258e-06","-16.0657492706162",2.76057712172652e-06
"AAAS","0.262765388917364","-0.0698385610402328",0.29629519077624
"AACS","1.12044998740584e-15","0.397579305574441",5.20254181239856e-15
"AADAT","0.00291131128587513","0.111759269132341",0.00418516925878723
"AAED1","4.09165421047458e-12","-0.623905043673519",1.32965266938674e-11
"AAGAB","1.60929034401421e-19","0.937698980768972",1.17890987060015e-18
"AAK1","4.90204199020372e-30","0.418217995495979",2.66849832759543e-28
"AAMP","0.20055814773746","0.218391921161254",0.230314618841165
"AAR2","0.00545266559339218","-0.0755331408742095",0.00761734213691949
"AARS","0.00266555330301762","1.14364136559979",0.00384534358632981
"AARS2","2.20500291746014e-07","-0.17730783160621",4.7199421563621e-07
"AARSD1","0.957922345655362","-0.00247745711288294",0.96290643457889
"AASDH","0.00463915434116459","0.210858221748119",0.00653460868098566
"AASDHPPT","0.00891772714767437","-0.198518090903106",0.0121816672100424
"AASS","3.71301270482799e-22","2.6794244079187",3.9939207620819e-21
"AATF","2.43219060143782e-19","-1.0123544272653",1.73152991300338e-18
"ABAT","3.03174567071657e-29","8.36025239035332",1.36400868007171e-27
"ABCA1","2.50032525222788e-21","-4.92636392990489",2.38026132465713e-20
"ABCA12","0.000243058931009009","-0.367485113115294",0.000389471401403767
"ABCA2","0.0104741564256324","0.122033272824517",0.0141936271849479
"ABCA5","0.111468901399267","0.406679895289618",0.132950379552957
"ABCA6","0.902598511055847","0.0484387860993818",0.913632949397294
"ABCA8","5.99617553787801e-18","1.45048999392951",3.60685699479316e-17
"ABCB1","3.19785928922251e-25","4.0189415321924",6.00162049080179e-24
"ABCB10","1.12090967695252e-07","-0.161531166582346",2.4581177491683e-07
"ABCB6","1.19633397372045e-13","-0.993570113735739",4.50247465357815e-13
"ABCB7","0.669076667082083","0.0376006201987078",0.698422756728442
"ABCB8","5.3232609002814e-19","0.269517840013251",3.64236733683838e-18
"ABCC1","3.22961027510359e-12","-0.902171317748684",1.06000499802117e-11
"ABCC10","2.85558987463344e-08","0.165612429994064",6.60317461505827e-08
"ABCC2","1.28189580249123e-07","1.51240253703619",2.79621858356123e-07
"ABCC3","2.42246176037111e-16","-2.92475041056653",1.21283108358417e-15
"ABCC4","0.102275385462483","0.326706219814366",0.122638356208086
"ABCC6","5.44076449049014e-19","2.15544643437584",3.71760419728151e-18
"ABCC9","0.273786446075874","0.204205979068428",0.307806692513189
"ABCD1","8.38067740914005e-16","-0.220205077201152",3.97185254989211e-15
"ABCD3","6.70091180685661e-20","3.00033110685181",5.18242417841116e-19
