"gene","pval","effect","fdr"
"A1BG","0.00207687980549061","0.0681963490328563",0.00552279126566558
"A2M","0.000292574541753189","0.0710073947222991",0.00117922680185617
"A2ML1","0.000417484453351948","-0.160152407681057",0.00154748509506468
"AAAS","0.00476375546121094","-0.0173809199167831",0.0110017048242097
"AACS","0.00215136875591343","-0.035149100604393",0.00568602768928048
"AADAT","0.200916704045577","0.0128265763567756",0.263636274149365
"AAED1","0.00419836080953932","0.0514127309869167",0.00987600982378209
"AAGAB","0.253770416247323","-0.00892132063909745",0.322090501847055
"AAK1","0.0339563470651755","-0.0143851746892524",0.057358137988398
"AAMDC","0.0266626301209185","0.021193756337527",0.0468976159606119
"AAMP","0.340765574080786","-0.00695461074652359",0.414704591456577
"AAR2","0.0433534185079643","-0.0117006836524522",0.0707308305639535
"AARS","0.0667969854816475","-0.0125826739057001",0.102599178947287
"AARS2","0.379030508704282","0.00601257377212894",0.454367932888993
"AARSD1","0.0251048839497625","0.0271353763116966",0.0445705839536695
"AASDHPPT","0.350992109658996","-0.00550567847278483",0.425627557594469
"AASS","0.000244645097221676","0.0502620212169359",0.00103332755638906
"AATF","0.0440086583930402","0.017219183821226",0.071667423862719
"ABAT","0.363081182419181","-0.0141665245974717",0.438440125086651
"ABCA8","0.000110413822974256","0.136378192842361",0.000562437769013077
"ABCB1","1.18219972064255e-05","0.115249150468998",0.000120777870562955
"ABCB10","0.44233476450577","0.00631854153705513",0.516695731386849
"ABCB6","0.209489032038443","-0.0120288573785106",0.273467060444969
"ABCB7","5.81311872933268e-08","0.067393095953316",1.79057212272668e-05
"ABCB8","0.520721259495382","0.00636319345209668",0.59205649878745
"ABCC1","0.0031476329580329","-0.0409641222692471",0.00777776007227598
"ABCC10","0.000907581171554389","-0.048878534487122",0.00283926783946967
"ABCC3","0.000184794970810545","-0.12312959567964",0.000830087174766738
"ABCC4","0.352552677655403","0.0169967606840202",0.427292532447624
"ABCD1","0.281542977231721","0.00975951630464111",0.351899760185526
"ABCD3","0.000100302648623643","0.0683505052250893",0.000526550230475593
"ABCD4","0.01078884159891","0.0238499723141915",0.0217932300732149
"ABCE1","0.132030419427452","0.015053617855285",0.183946370928355
"ABCF1","0.50066389540099","0.00474829053351322",0.5732567004384
"ABCF2","0.745869368494155","0.00302559026208515",0.793987559981756
"ABCF3","0.793846725693537","0.00136869149266061",0.83324586237855
"ABCG1","0.00500926400237613","-0.0546919945420584",0.0114870213522027
"ABHD10","0.277432140457624","0.0103158734589198",0.347285590108561
"ABHD11","0.00647966843276688","-0.0410865572146264",0.0142150261020232
"ABHD12","0.408280630841459","-0.00579412528499723",0.482826549293825
"ABHD13","0.00271390665953877","0.0423284751489058",0.00688511892722076
"ABHD14A.ACY1","0.732015161339347","0.0165088167317424",0.781954538188427
"ABHD14B","0.699222973174291","-0.00311061553712977",0.754263607307921
"ABHD16A","0.00884824414385799","0.0184675880149457",0.0184053980559183
"ABHD17B","0.063660611029302","0.0183706572315061",0.0984120692637878
"ABHD3","0.000553966703290006","-0.0368017923786804",0.00191513602696579
"ABHD4","0.819036960949922","0.00189227742835285",0.853931564774393
"ABHD5","0.0208385879672382","-0.0338710116911602",0.0379804104290883
"ABHD6","0.00802969030533311","0.0439061651397716",0.0169817980395685
"ABI1","0.00510755313325385","-0.0133320525287273",0.0116742241543372
"ABI2","0.000140190125497669","-0.0263957040316618",0.000670983515577866
"ABI3","0.0556324871883748","0.0238009279418016",0.0877429656884146
"ABI3BP","0.0320528646934019","0.0516569533270153",0.0548128646933705
"ABL1","0.25539656130446","0.00997352803003748",0.323973950886351
