"gene","pval","effect","fdr"
"A1BG","1.98662291291627e-18","-0.0277022183072407",1.16919026895479e-17
"A2M","0.000110689960126813","-0.0102605992589283",0.000185612365710574
"AAAS","2.39272884994354e-06","-0.00518242299847566",4.66286460028178e-06
"AACS","0.00881273477105564","0.00373287566049307",0.0120658829114157
"AADAC","1.080213447028e-13","0.038375891171229",4.07366376700874e-13
"AADAT","9.5800387461386e-05","-0.0169294768394563",0.000161622535743257
"AAED1","0.0709491651504011","0.00320967322761556",0.0870947921520998
"AAGAB","0.245848761863255","-0.00116929421635575",0.278496512650282
"AAMDC","1.33348970198796e-07","0.00655231192801359",2.89989161874018e-07
"AAMP","0.0146457318558029","-0.00239436205264321",0.0195498146531011
"AAR2","0.553749315617089","-0.000496356427373557",0.590329150601247
"AARS","0.0269748179271601","-0.00156048123766989",0.0349537420274584
"AARS2","3.19347807465549e-08","-0.00707633694082355",7.3658843867024e-08
"AARSD1","0.00322214489411015","-0.00218885000054936",0.00462028139088917
"AASDHPPT","1.84315860830717e-05","-0.0040240824366688",3.32220690242915e-05
"AASS","5.06207059019597e-14","0.0156011268700335",1.96702815121437e-13
"AATF","5.92829431566985e-08","0.00755650254660045",1.33345377012249e-07
"AATK","8.352408584493e-11","0.029327295981192",2.42981436295734e-10
"ABAT","0.00506855950558929","0.00428116403655476",0.0071194726494874
"ABCA1","0.026142577007126","0.00346124900153799",0.0339388106534755
"ABCA12","2.00525740436799e-43","-0.112733265830869",5.11815567499082e-41
"ABCA13","0.475654122967419","-0.00481228136962519",0.512938552219368
"ABCA2","0.000670489428389559","-0.00647209410045929",0.00103190684956368
"ABCA3","0.348161847218432","-0.00246395619369444",0.385086299027434
"ABCA6","8.94943587853961e-15","0.0208011561235583",3.69521407347619e-14
"ABCA7","0.342116091532856","-0.00376175983177973",0.378917891033136
"ABCA8","1.76330742743777e-22","0.0329119399996268",1.55758822757003e-21
"ABCB1","1.64283577925224e-12","0.0210943129301633",5.52300319686914e-12
"ABCB10","2.59378583421934e-09","-0.00733675810496626",6.55816705059786e-09
"ABCB5","2.23850489480634e-06","0.032454397721133",4.37110106195424e-06
"ABCB6","6.74829069866288e-40","-0.033384023975931",9.62524580681342e-38
"ABCB7","0.151252995768346","0.00164984908128896",0.177775424861511
"ABCB8","4.36972751158449e-11","-0.00949864194895139",1.30205797649333e-10
"ABCC1","0.0678168545964346","-0.00218086396406358",0.0834927231189159
"ABCC10","7.71255327797473e-16","-0.020317764149087",3.5495100668043e-15
"ABCC2","5.56031882101769e-06","-0.035011021240868",1.04636267452562e-05
